# heliumInput = PEDIGREE
LineName	FemaleParent	MaleParent
2012229	1989831	1985384
2012604	2005958	1999226
2012612	20069025	2001517
2012616	1989028	2001517
2012618	1989028	2001517
2012619	1989028	2001517
2012620	1989028	2001517
2012621	1989028	2001517
2012640	1999233	20001301
2012641	1999233	20011178
2012642	2005939	1999226
2012643	2001517	NA
2012645	2005923	2005939
2012646	2000950	2004852
2012647	20010271	2004836
2012648	2004836	2001517
2012650	2004821	20028021
2012655	2004821	1999226
2012657	2004827	2001517
2012659	2004827	2001517
2012660	2004827	2001517
2012662	2003718	20012390
2012663	2003718	20012390
2012664	2001517	NA
2012665	1999226	NA
2012667	2003718	20012390
2012671	2003393	1999226
2012673	1999226	NA
2012674	2001517	NA
2012676	2000458	2001517
2012677	2000458	2001517
2013235	1983644	2004836
2013239	1992624	1999233
2013249	NA	1985384
2013253	1992648	2004836
2013721	19974416	2004810
2013725	2004824	2001517
2013727	2004821	1999226
2013728	2004821	1999226
2013731	1999233	2001517
2013755	2004821	2005918
2013756	2004821	2005918
2013761	2004824	2005918
2013764	1999233	2005918
2013765	2004821	1999226
2013766	2004821	1999226
2013770	1999233	2004810
2013772	2004821	2005918
2013773	2004821	2005918
2013777	1999233	1999226
2013780	1999233	2001517
2013781	2004824	2001517
2014270	2000950	1999226
2014275	1992624	1999226
2014277	2000950	NA
2014293	1999233	1999226
2014295	1983644	1999226
2014802	1999233	2004810
2014808	2000950	1999226
2014815	19931858	2005918
2014816	2005920	2005923
2014819	2005920	2005923
2014825	20079848	2005923
2014847	1983644	2001517
2014849	1983644	2001517
2014850	1983644	2001517
2014852	2005923	1999226
2014865	2000950	2004852
2014866	2000950	2004852
2014870	2001517	2004852
2014873	2005920	1999226
2014875	2001517	2004852
2014876	2001517	2004852
2014877	2001517	2004852
2014886	2005920	2004852
2014887	2005920	2004852
2014888	2001517	2004852
2014892	2000950	2004852
2014894	1977042	2001517
2014897	2003391	20028021
2014898	2006567	1999226
2014899	2005920	2005923
2014901	2003391	20028021
2014902	2003391	20028021
2014911	1977042	2001517
2014912	2005920	2005923
2015309	1992624	1985384
2015317	2001517	NA
2015320	1992624	1999233
2015334	1992624	1999233
2015503	2001517	NA
2015506	2001517	NA
2015528	2000950	NA
2015542	1983644	1999226
2015552	2001517	NA
2015934	1983644	2004836
2015940	1985384	NA
2015941	1985384	NA
2015947	1995988	NA
2015982	2000266	NA
2015999	2001517	NA
2016350	1999233	NA
2016352	1985384	NA
2016355	1981010	1999226
2016359	2004847	NA
2016361	2001517	NA
2016372	1985384	NA
2016675	2001517	201008
2016685	1999226	2004852
2017394	1985384	NA
2017407	NA	1999226
2017419	1992624	1999233
2017713	2005918	2009850
2018451	1983644	1985384
2018471	2001517	NA
2018475	1992624	1999233
2018826	2009850	2005918
2018869	1985384	2013006
2019020	1992624	1999233
2019021	1992624	1999233
2019495	1992624	1985384
2019924	2000950	2009857
2020040	1992624	1999226
2020065	2001517	1999226
20011372	19941200	19892143
20059007	199939	1986454
20069607	2000905	2000017
20069608	NA	1985384
20069610	1990018	NA
20089618	1995951	2001517
20109624	1977042	2002099
20109625	2001517	NA
20119406	1999226	NA
20119627	20059018	20059606
20119628	20059018	20059606
20129632	20069025	2001517
20129634	2005958	1999226
20139637	2004821	2003403
1994428	1981010	1982089
1997606	1985845	1985384
1998718	1981010	1982089
1998781	1989831	1982089
1999238	1979318	1985384
1999839	1985845	1985384
2000251	1985845	1993391
2000254	1985845	1983644
2000255	1991281	1982089
