# heliumInput = PEDIGREE
"LineName"	"MaleParent"	"FemaleParent"
"CP810311"	"CP660346"	"CP670412"
"CP810312"	"L65069"	"CP700310"
"CP810315"	"L65069"	"CP650357"
"CP810316"	"L65069"	"CP650357"
"CP810319"	"CP690373"	"CP650357"
"CP810320"	"CP660346"	"CP650357"
"CP810325"	"CP730343"	"CP710318"
"CP810327"	"CP690373"	"CP730341"
"CP810328"	"CP730343"	"CP710318"
"CP810329"	"CP660346"	"CP700300"
"CP810333"	"CP660346"	"CP720355"
"CP810335"	"CP700300"	"CP700310"
"CP810338"	"L65069"	"CP660346"
"CP810340"	"CP660346"	"CP710318"
"CP810341"	"L65069"	"CP720356"
"CP810342"	"L65069"	"CP660346"
"CP811254"	"CP78Poly08"	"CP721210"
"CP811302"	"CP711086"	"CP722079"
"CP811425"	"CP711240"	"CP681067"
"CP811435"	"CP711240"	"CP681067"
"CP820501"	"CP770413"	"CP650357"
"CP820506"	"CP770407"	"CP650357"
"CP820507"	"CP720355"	"CP740383"
"CP820508"	"CP740328"	"CP61039"
"CP820510"	"CP770407"	"CP650357"
