# heliumInput = PEDIGREE
"LineName"	"MaleParent"	"FemaleParent"
"CP790318"	"L65069"	"CP650357"
"CP790319"	"CP660346"	"CP660376"
"CP790324"	"CP660346"	"CP660376"
"CP790326"	"CP670411"	"CP660376"
"CP790327"	"L65069"	"CP700310"
"CP790328"	"L65069"	"CP700310"
"CP790329"	"CP690373"	"CP710318"
"CP790332"	"CP700300"	"CP710318"
"CP790336"	"CP700401"	"CP690373"
"CP790344"	"CP660346"	"CP680368"
"CP790347"	"US56144"	NA
"CP790348"	"US70163"	"CP740398"
"CP791374"	NA	NA
"CP791658"	"CP63588"	"CP701547"
"CP800302"	"L65069"	"CP650357"
"CP800305"	"L65069"	"CP650357"
"CP800306"	"L65069"	"CP52068"
"CP800308"	"L65069"	"CP700317"
"CP800309"	"L65069"	"CP650357"
"CP800310"	"L65069"	"CP650357"
"CP800311"	"CP710424"	"CP650357"
"CP800313"	"CP710424"	"CP650357"
"CP800314"	"CP690373"	"CP61039"
"CP800315"	"L65069"	"CP670413"
"CP800317"	"CP710424"	"CP650357"
"CP800318"	"CP710424"	"CP650357"
"CP800319"	"CP710424"	"CP650357"
