,VARIETY,FEMALEPARENT,MALEPARENT,T_SPACRE,TRS_TON,TCA,FIBER,MSTWT,POPN,SYPCT,SCPCT,CYPCT,SWPCT,POPPCT
584,2005456,L99-233,LCP85-384,10389.2498,237.9008825,43.60976707,96.65855268,1.851785714,47294.71154,110.957857,89.83020283,122.3363268,97.23369362,124.0314694
585,2005457,L97-128,LCP87-492,11619.8132,235.7840129,49.46351925,110.0112611,1.914427083,51566.777,124.1003533,89.03088329,138.7575688,100.522871,135.2350594
586,2005458,HOCP92-624,HOCP97-609,9348.570469,242.316,38.71858203,NA,1.676666667,46055.625,99.84333466,91.49732947,108.6153268,88.03853045,120.7819364
587,2005459,L89-113,LCP85-384,9797.375547,228.9772652,42.81923849,93.01330289,1.817447917,46882.3764,104.6366018,86.46068885,120.118696,95.43068215,122.950111
588,2005460,HOCP92-624,L91-255,11564.58445,270.3050714,42.93574471,88.15957356,1.772738095,48970.09615,123.5105067,102.0658651,120.4455251,93.08305572,128.4252041
589,2005461,L99-233,LCP85-384,9943.470835,245.268,40.35879375,NA,1.593333333,49458.75,106.1969089,92.61199015,113.2165318,83.66285796,129.7067101
590,2005462,HOCP96-540,HOCP91-552,11213.6871,255.772,44.37561563,NA,2.237333333,39135.9375,119.7629004,96.57824887,124.4847239,117.4780549,102.6348967
591,2005463,LCP81-010,L92-312,9602.881348,262.478,36.88703906,NA,1.686666667,42539.0625,102.5593912,99.11040148,103.4773897,88.56361113,111.5596703
592,2005464,CP79-318,L99-233,10094.41851,250.492,41.00066094,NA,2.025333333,42312.1875,107.8090397,94.58454685,115.0171301,106.3463441,110.9646854
593,2005465,HO95-988,L98-207,11731.97323,227.054,52.85591953,NA,1.835333333,58080,125.2982296,85.73447336,148.2741018,96.36981086,152.3161366
594,2005466,CP83-644,HOCP97-609,10408.00127,254.6681236,41.08950577,109.2584378,1.893571429,44432.59615,111.1581238,96.16143059,115.2663621,99.42778083,116.5255059
595,2005467,HO95-988,L94-433,9785.98424,260.068,37.53911563,NA,1.907666667,41745,104.5149419,98.20039734,105.3066279,100.1678946,109.4772232
596,2005468,L93-399,HOCP91-552,9823.586257,258.294,38.13229922,NA,1.788,43446.5625,104.9165339,97.53054367,106.9706566,93.88442888,113.93961
597,2005469,HO95-988,L98-209,10618.56675,247.028,41.62475625,NA,1.860333333,46736.25,113.4069768,93.27655749,116.7678739,97.6825126,122.5668912
598,2005470,L94-428,L91-281,10640.21585,248.7833741,42.67783438,93.78593736,1.803095238,48341.82692,113.6381905,93.93937812,119.722022,94.6770507,126.7775536
599,2005471,L94-428,L91-281,11125.40975,269.976,41.15427422,NA,1.644333333,50252.8125,118.8200927,101.9416094,115.4480539,86.34076952,131.7891572
600,2005472,HOCP92-624,HOCP96-522,8998.53995,259.458,34.98781172,NA,1.589333333,45375,96.10498617,97.97006434,98.14958104,83.45282567,118.9969817
